model_time,drainage_density
0.0, 0.0353553390593
1000.0, 0.0183729650197
2000.0, 0.00985288128691
3000.0, 0.00775192246075
4000.0, 0.00671926124578
5000.0, 0.00627166974499
6000.0, 0.00602115414528
7000.0, 0.00530761109511
8000.0, 0.00579339244958
9000.0, 0.00630831031476
10000.0, 0.00690584079637
11000.0, 0.00795536283113
12000.0, 0.00923282410886
13000.0, 0.0118633159669
14000.0, 0.0128915161102
15000.0, 0.0130706374932
16000.0, 0.0130106713722
17000.0, 0.0125914842403
18000.0, 0.012715566797
19000.0, 0.0126731052545
20000.0, 0.0125624716038
21000.0, 0.0123043181132
22000.0, 0.0123354896275
23000.0, 0.0125295355235
24000.0, 0.0124989909753
25000.0, 0.0124219815483
26000.0, 0.0121940463065
27000.0, 0.012173530198
28000.0, 0.0123913634981
29000.0, 0.0123713646532
30000.0, 0.0120853561449
31000.0, 0.0123547810545
32000.0, 0.0123589227847
33000.0, 0.0119373988127
34000.0, 0.0123131242445
35000.0, 0.0122709693781
36000.0, 0.0123524155977
37000.0, 0.0120140904083
38000.0, 0.0123595146871
39000.0, 0.0122591167482
40000.0, 0.0121884790378
41000.0, 0.0122236958444
42000.0, 0.0119462403753
43000.0, 0.0120940404593
44000.0, 0.0120481177734
45000.0, 0.0119808108945
46000.0, 0.011748281461
47000.0, 0.0119698820328
48000.0, 0.0118212911501
49000.0, 0.0120710354398
50000.0, 0.0121439327394
51000.0, 0.0120616324178
52000.0, 0.0121131520481
53000.0, 0.0120554344441
54000.0, 0.0120338851325
55000.0, 0.0116501640232
56000.0, 0.0119871179513
57000.0, 0.0119259978126
58000.0, 0.0118429908829
59000.0, 0.0118477029964
60000.0, 0.0118478843064
61000.0, 0.0119014311848
62000.0, 0.0119102195283
63000.0, 0.0119203054751
64000.0, 0.0117180523392
65000.0, 0.0119318794791
66000.0, 0.0118869952403
67000.0, 0.0118868127313
68000.0, 0.0118985046183
69000.0, 0.011847340393
70000.0, 0.0118357487923
71000.0, 0.0117368827979
72000.0, 0.011496198622
73000.0, 0.0117003430609
74000.0, 0.0114148384053
75000.0, 0.0117006967219
76000.0, 0.0115645445583
77000.0, 0.0116881548356
78000.0, 0.0115479848453
79000.0, 0.0116659634742
80000.0, 0.011671239485
81000.0, 0.0114458900059
82000.0, 0.0115676547932
83000.0, 0.0115493630098
84000.0, 0.0113437559525
85000.0, 0.0113704122545
86000.0, 0.0114677608093
87000.0, 0.0114740492634
88000.0, 0.0114859652246
89000.0, 0.0115359399213
90000.0, 0.0110810540026
91000.0, 0.0114921030756
92000.0, 0.0115536718948
93000.0, 0.0115581565472
94000.0, 0.0114808553549
95000.0, 0.0114697995526
96000.0, 0.0114074379678
97000.0, 0.0114190474786
98000.0, 0.0113374434373
99000.0, 0.0114591042302
100000.0, 0.0114273062731
101000.0, 0.0112896640224
102000.0, 0.0114165216622
103000.0, 0.011431355757
104000.0, 0.0114294993873
105000.0, 0.0114492753623
106000.0, 0.0114269689456
107000.0, 0.0112893347721
108000.0, 0.0114108006131
109000.0, 0.0113755914073
110000.0, 0.0113755914073
111000.0, 0.0112185013983
112000.0, 0.0113609015936
113000.0, 0.0114003828597
114000.0, 0.0114138286894
115000.0, 0.011352072611
116000.0, 0.0113704122545
117000.0, 0.0113789353009
118000.0, 0.0113499091069
119000.0, 0.0113102803465
120000.0, 0.0113226863227
121000.0, 0.0111812365506
122000.0, 0.0112904872322
